employee_id,name,age,gender,country,city,department,experience_years,salary_usd,bonus_usd,work_hours_per_week,remote_work,performance_score,joining_year,seniority_level,job_title_designer,job_title_developer,job_title_manager,education_high school,education_master,education_phd,contract_type_full-time,contract_type_part-time
1,employee_1,58,female,india,ny,it,0,130735,3650,41,yes,1,2015,junior,0,0,1,0,0,0,0,1
2,employee_2,48,female,uk,ny,hr,4,54363,14600,52,no,2,2022,mid,1,0,0,1,0,0,0,1
3,employee_3,34,male,usa,london,it,1,76694,15317,51,yes,8,2010,junior,0,0,1,1,0,0,0,1
4,employee_4,27,male,uk,karachi,marketing,19,31582,19768,51,yes,5,2004,senior,0,1,0,0,0,0,0,0
5,employee_5,40,male,canada,london,it,2,109910,18193,59,yes,7,2008,junior,0,0,1,0,1,0,1,0
6,employee_6,58,female,india,london,marketing,18,96844,16563,34,yes,1,2002,senior,1,0,0,0,0,1,1,0
7,employee_7,38,male,uk,delhi,it,17,51301,7895,40,yes,5,2007,senior,1,0,0,0,0,1,0,0
8,employee_8,42,female,usa,delhi,hr,28,104329,18543,33,no,3,2005,senior,0,1,0,1,0,0,0,1
9,employee_9,30,female,uk,karachi,it,21,31620,2531,56,no,2,2003,senior,0,0,0,0,1,0,0,0
10,employee_10,30,male,pakistan,delhi,hr,17,92224,6481,33,yes,2,2011,senior,0,0,1,0,0,0,0,0
11,employee_11,43,male,usa,la,hr,13,86655,11874,32,no,9,2011,senior,1,0,0,1,0,0,0,1
12,employee_12,55,female,canada,karachi,it,29,125419,7163,55,yes,4,2024,senior,0,0,1,0,1,0,0,1
13,employee_13,59,female,india,delhi,hr,23,67534,6264,53,yes,4,2020,senior,0,0,1,0,1,0,1,0
14,employee_14,43,female,uk,karachi,finance,7,133496,18615,52,yes,7,2015,mid,0,0,0,0,1,0,0,1
15,employee_15,22,male,usa,london,it,28,69390,16890,54,yes,2,2009,senior,1,0,0,0,0,0,0,0
16,employee_16,41,female,pakistan,london,it,29,101629,19807,46,no,3,2021,senior,0,0,1,0,0,0,0,0
17,employee_17,21,male,usa,karachi,hr,11,85856,12767,36,yes,3,2013,senior,1,0,0,0,0,1,0,1
18,employee_18,43,female,pakistan,la,hr,20,79252,9071,55,no,6,2012,senior,0,1,0,0,0,1,1,0
19,employee_19,49,female,canada,la,it,9,85809,16540,33,yes,3,2008,senior,0,1,0,0,1,0,0,0
20,employee_20,57,male,india,karachi,finance,22,52259,3908,52,yes,5,2006,senior,0,0,1,0,1,0,0,1
21,employee_21,21,female,canada,delhi,hr,19,50655,5712,42,no,4,2011,senior,1,0,0,0,0,0,1,0
22,employee_22,40,male,uk,toronto,hr,16,63005,13190,41,yes,3,2004,senior,0,0,1,0,0,1,1,0
23,employee_23,52,male,usa,la,marketing,10,61629,11150,30,yes,8,2017,senior,1,0,0,0,1,0,0,0
24,employee_24,31,female,pakistan,ny,finance,1,53610,5491,50,no,3,2003,junior,1,0,0,0,0,1,0,0
25,employee_25,41,male,pakistan,london,finance,25,87184,14919,48,no,6,2001,senior,0,0,0,0,0,1,1,0
26,employee_26,44,male,usa,karachi,it,25,51602,15168,50,no,7,2002,senior,0,0,0,0,1,0,1,0
27,employee_27,46,female,usa,ny,finance,3,115945,9593,49,yes,7,2011,mid,0,0,0,0,0,0,1,0
28,employee_28,47,male,uk,karachi,it,0,41110,18358,47,yes,2,2002,junior,0,0,1,0,1,0,0,1
29,employee_29,35,male,canada,london,marketing,14,36073,17607,40,no,3,2003,senior,0,0,0,0,1,0,0,0
30,employee_30,34,male,pakistan,london,finance,12,130846,5613,49,no,4,2005,senior,0,0,0,0,0,1,1,0
31,employee_31,22,female,uk,la,hr,7,110818,12426,32,yes,7,2011,mid,0,1,0,0,1,0,0,0
32,employee_32,56,male,canada,la,marketing,24,40195,17609,58,yes,2,2018,senior,1,0,0,0,0,0,0,0
33,employee_33,26,female,uk,ny,it,3,31537,9183,46,no,3,2009,mid,1,0,0,0,1,0,0,0
34,employee_34,40,female,pakistan,karachi,marketing,9,47138,18725,41,no,7,2000,senior,0,0,0,0,0,0,1,0
35,employee_35,28,male,usa,london,it,18,74328,9401,39,no,7,2016,senior,1,0,0,0,0,0,0,1
36,employee_36,58,male,usa,ny,marketing,17,76202,4727,37,no,3,2015,senior,0,1,0,0,0,1,1,0
37,employee_37,37,male,canada,toronto,it,4,70164,14703,44,yes,1,2008,mid,0,1,0,1,0,0,0,0
38,employee_38,23,female,india,ny,finance,29,119743,11218,34,yes,3,2024,senior,0,0,0,1,0,0,1,0
39,employee_39,44,male,canada,delhi,hr,18,84659,1393,33,yes,5,2020,senior,0,1,0,0,0,1,1,0
40,employee_40,33,male,india,ny,it,25,116155,16992,55,yes,7,2008,senior,1,0,0,0,1,0,0,0
41,employee_41,28,male,uk,delhi,marketing,22,79692,10035,57,no,4,2022,senior,0,0,1,0,0,1,0,0
42,employee_42,45,male,uk,delhi,it,26,54845,10716,50,yes,1,2008,senior,1,0,0,0,0,0,1,0
43,employee_43,21,male,pakistan,delhi,it,21,119846,9795,49,no,6,2011,senior,0,0,1,1,0,0,1,0
